transaction_id,date,month,quarter,is_ramadan_period,product_name,category,sub_category,brand,outlet_name,outlet_type,region,city,distributor_name,qty_sold,sell_in_value,sell_out_value,stock_available
13,2025-06-16,June,2,False,Harmoni Pasta Gigi,Personal Care,Pasta Gigi,Harmoni,Warung Medan 63,Modern Trade,Sumatera Utara,Medan,PT Distribusi SumateraUtara 4,91,1133608,938942,450
14,2025-11-02,November,4,False,Rumahku Pewangi Pakaian,Household,Pewangi Pakaian,Rumahku,Warung Jakarta Selatan 113,General Trade,Jakarta,Jakarta Selatan,PT Distribusi Kalimantan 5,143,92576,80432,97
15,2025-02-13,February,1,False,Harmoni Deodoran,Personal Care,Deodoran,Harmoni,Swalayan Makassar 93,Modern Trade,Sulawesi,Makassar,PT Distribusi JawaBarat 7,126,2378577,2198703,353
16,2025-09-01,September,3,False,Harmoni Deterjen,Household,Deterjen,Harmoni,Swalayan Banjarmasin 92,General Trade,Kalimantan,Banjarmasin,PT Distribusi Sulawesi 8,115,122323,94360,113
17,2025-07-27,July,3,False,Rumahku Pewangi Pakaian,Household,Pewangi Pakaian,Rumahku,Toko Surabaya 32,General Trade,Jawa Timur,Surabaya,PT Distribusi Kalimantan 5,149,1597783,1372255,271
18,2025-06-26,June,2,False,Segar Alam Susu Bubuk,Food & Beverage,Susu Bubuk,Segar Alam,Toko Surabaya 96,Modern Trade,Jawa Timur,Surabaya,PT Distribusi Jakarta 9,85,1525600,1390823,138
19,2025-06-06,June,2,False,Ceria Lotion,Personal Care,Lotion,Ceria,Toko Bekasi 30,Modern Trade,Jawa Barat,Bekasi,PT Distribusi SumateraSelatan 2,50,1373504,1067896,274
20,2025-12-20,December,4,False,Harmoni Pasta Gigi,Personal Care,Pasta Gigi,Harmoni,Swalayan Bogor 25,Modern Trade,Jawa Barat,Bogor,PT Distribusi SumateraUtara 4,124,1209723,1108898,500
21,2025-09-26,September,3,False,Nuansa Minyak Goreng,Food & Beverage,Minyak Goreng,Nuansa,Swalayan Banjarmasin 37,Modern Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraSelatan 2,50,1292547,1037037,91
22,2025-06-04,June,2,False,Nuansa Sabun Mandi,Personal Care,Sabun Mandi,Nuansa,Warung Jakarta Selatan 91,Modern Trade,Jakarta,Jakarta Selatan,PT Distribusi Jakarta 9,33,1200545,912976,27
23,2025-10-11,October,4,False,Nuansa Lotion,Personal Care,Lotion,Nuansa,Warung Magelang 90,General Trade,Jawa Tengah,Magelang,PT Distribusi Kalimantan 3,126,480283,456617,293
24,2025-05-26,May,2,False,Segar Alam Teh Celup,Food & Beverage,Teh Celup,Segar Alam,Minimarket Bogor 62,General Trade,Jawa Barat,Bogor,PT Distribusi Sulawesi 8,88,823277,800278,129
25,2025-09-02,September,3,False,Harmoni Sampo,Personal Care,Sampo,Harmoni,Warung Makassar 106,Modern Trade,Sulawesi,Makassar,PT Distribusi SumateraSelatan 2,103,2112534,1620395,322
26,2025-12-18,December,4,False,Harmoni Sabun Mandi,Personal Care,Sabun Mandi,Harmoni,Toko Magelang 20,General Trade,Jawa Tengah,Magelang,PT Distribusi Kalimantan 3,145,1324378,1019230,127
27,2025-03-02,March,1,True,Segar Alam Mi Instan,Food & Beverage,Mi Instan,Segar Alam,Swalayan Balikpapan 98,General Trade,Kalimantan,Balikpapan,PT Distribusi JawaBarat 7,81,3138559,2628502,465
28,2025-08-15,August,3,False,Nuansa Lotion,Personal Care,Lotion,Nuansa,Minimarket Balikpapan 111,General Trade,Kalimantan,Balikpapan,PT Distribusi Jakarta 10,110,1330857,1172198,30
29,2025-11-09,November,4,False,Nuansa Pewangi Pakaian,Household,Pewangi Pakaian,Nuansa,Minimarket Banjarmasin 13,Modern Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraUtara 4,55,1160006,1046207,80
30,2025-05-03,May,2,False,Harmoni Pasta Gigi,Personal Care,Pasta Gigi,Harmoni,Minimarket Jakarta Selatan 71,Modern Trade,Jakarta,Jakarta Selatan,PT Distribusi SumateraSelatan 2,41,61222,51668,352
31,2025-11-01,November,4,False,Segar Alam Teh Celup,Food & Beverage,Teh Celup,Segar Alam,Swalayan Bandung 38,General Trade,Jawa Barat,Bandung,PT Distribusi SumateraSelatan 1,60,1258399,1148414,359
32,2025-08-21,August,3,False,Ceria Sampo,Personal Care,Sampo,Ceria,Swalayan Banjarmasin 88,General Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraUtara 4,68,2671683,2366180,411
33,2025-04-12,April,2,False,Segar Alam Susu Bubuk,Food & Beverage,Susu Bubuk,Segar Alam,Minimarket Magelang 15,General Trade,Jawa Tengah,Magelang,PT Distribusi Jakarta 9,58,2766376,2169578,136
34,2025-03-14,March,1,True,Ceria Sampo,Personal Care,Sampo,Ceria,Warung Surabaya 8,General Trade,Jawa Timur,Surabaya,PT Distribusi Kalimantan 3,110,3564113,3287039,291
35,2025-05-28,May,2,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Swalayan Bekasi 16,General Trade,Jawa Barat,Bekasi,PT Distribusi Sulawesi 8,78,2984895,2515003,139
36,2025-09-14,September,3,False,Segar Alam Mi Instan,Food & Beverage,Mi Instan,Segar Alam,Warung Binjai 64,Modern Trade,Sumatera Utara,Binjai,PT Distribusi Sulawesi 8,21,2558347,1942215,221
37,2025-06-15,June,2,False,Nuansa Minyak Goreng,Food & Beverage,Minyak Goreng,Nuansa,Minimarket Bogor 33,General Trade,Jawa Barat,Bogor,PT Distribusi SumateraSelatan 1,24,1010178,981124,428
38,2025-10-22,October,4,False,Rumahku Minyak Goreng,Food & Beverage,Minyak Goreng,Rumahku,Warung Binjai 3,Modern Trade,Sumatera Utara,Binjai,PT Distribusi SumateraSelatan 11,69,2466955,1873043,387
39,2025-03-31,March,1,False,Segar Alam Teh Celup,Food & Beverage,Teh Celup,Segar Alam,Swalayan Medan 67,General Trade,Sumatera Utara,Medan,PT Distribusi SumateraSelatan 11,114,1216673,963291,299
40,2025-08-12,August,3,False,Harmoni Deterjen,Household,Deterjen,Harmoni,Minimarket Binjai 105,General Trade,Sumatera Utara,Binjai,PT Distribusi Sulawesi 8,24,2021366,1677796,170
41,2025-06-14,June,2,False,Segar Alam Deterjen,Household,Deterjen,Segar Alam,Toko Makassar 14,Modern Trade,Sulawesi,Makassar,PT Distribusi Kalimantan 3,85,1776564,1615864,147
42,2025-12-06,December,4,False,Harmoni Susu Bubuk,Food & Beverage,Susu Bubuk,Harmoni,Minimarket Binjai 105,General Trade,Sumatera Utara,Binjai,PT Distribusi Jakarta 9,10,1957678,1507908,129
43,2025-06-15,June,2,False,Harmoni Sampo,Personal Care,Sampo,Harmoni,Minimarket Balikpapan 99,Modern Trade,Kalimantan,Balikpapan,PT Distribusi JawaBarat 7,132,54827,49413,277
44,2025-08-25,August,3,False,Segar Alam Susu Bubuk,Food & Beverage,Susu Bubuk,Segar Alam,Warung Kediri 7,Modern Trade,Jawa Timur,Kediri,PT Distribusi SumateraUtara 4,133,1567412,1400021,255
45,2025-11-17,November,4,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Swalayan Balikpapan 98,General Trade,Kalimantan,Balikpapan,PT Distribusi SumateraSelatan 1,53,1170115,1025395,474
46,2025-05-28,May,2,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Warung Jakarta Selatan 113,General Trade,Jakarta,Jakarta Selatan,PT Distribusi JawaTimur 12,125,559297,423186,322
47,2025-11-08,November,4,False,Segar Alam Sabun Cuci Piring,Household,Sabun Cuci Piring,Segar Alam,Toko Surabaya 31,Modern Trade,Jawa Timur,Surabaya,PT Distribusi JawaTimur 12,41,1353380,1186498,282
48,2025-07-28,July,3,False,Ceria Sampo,Personal Care,Sampo,Ceria,Minimarket Makassar 29,Modern Trade,Sulawesi,Makassar,PT Distribusi SumateraSelatan 2,119,542688,487861,78
49,2025-09-13,September,3,False,Rumahku Pewangi Pakaian,Household,Pewangi Pakaian,Rumahku,Swalayan Bandung 38,General Trade,Jawa Barat,Bandung,PT Distribusi Jakarta 9,70,1792692,1688691,241
50,2025-05-05,May,2,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Minimarket Jakarta Selatan 71,Modern Trade,Jakarta,Jakarta Selatan,PT Distribusi Kalimantan 3,99,849477,817222,260
51,2025-03-11,March,1,True,Ceria Pembersih Lantai,Household,Pembersih Lantai,Ceria,Minimarket Medan 9,General Trade,Sumatera Utara,Medan,PT Distribusi Kalimantan 5,149,2065755,1993199,259
52,2025-05-17,May,2,False,Segar Alam Pembersih Lantai,Household,Pembersih Lantai,Segar Alam,Minimarket Jakarta Timur 1,General Trade,Jakarta,Jakarta Timur,PT Distribusi Kalimantan 5,77,2511795,2218875,337
53,2025-09-08,September,3,False,Ceria Pembersih Lantai,Household,Pembersih Lantai,Ceria,Toko Magelang 20,General Trade,Jawa Tengah,Magelang,PT Distribusi Sulawesi 8,138,2081475,1726330,282
54,2025-10-06,October,4,False,Harmoni Susu Bubuk,Food & Beverage,Susu Bubuk,Harmoni,Warung Malang 59,Modern Trade,Jawa Timur,Malang,PT Distribusi SumateraUtara 6,49,2975520,2395071,196
55,2025-04-30,April,2,False,Ceria Pembersih Lantai,Household,Pembersih Lantai,Ceria,Minimarket Bekasi 100,Modern Trade,Jawa Barat,Bekasi,PT Distribusi JawaBarat 7,12,1384528,1275540,361
56,2025-07-15,July,3,False,Harmoni Susu Bubuk,Food & Beverage,Susu Bubuk,Harmoni,Minimarket Balikpapan 85,General Trade,Kalimantan,Balikpapan,PT Distribusi SumateraSelatan 11,39,2127558,2067794,64
57,2025-09-15,September,3,False,Rumahku Minyak Goreng,Food & Beverage,Minyak Goreng,Rumahku,Minimarket Bandung 43,General Trade,Jawa Barat,Bandung,PT Distribusi SumateraSelatan 2,113,468221,407805,233
58,2025-01-08,January,1,False,Nuansa Pewangi Pakaian,Household,Pewangi Pakaian,Nuansa,Toko Solo 19,General Trade,Jawa Tengah,Solo,PT Distribusi JawaBarat 7,40,363852,312178,496
59,2025-05-16,May,2,False,Harmoni Kecap,Food & Beverage,Kecap,Harmoni,Swalayan Binjai 80,General Trade,Sumatera Utara,Binjai,PT Distribusi JawaTimur 12,102,2775612,2132981,168
60,2025-12-12,December,4,False,Ceria Pembersih Lantai,Household,Pembersih Lantai,Ceria,Minimarket Jakarta Selatan 69,General Trade,Jakarta,Jakarta Selatan,PT Distribusi JawaBarat 7,82,2678986,2452089,388
61,2025-09-07,September,3,False,Ceria Pembersih Lantai,Household,Pembersih Lantai,Ceria,Warung Semarang 70,General Trade,Jawa Tengah,Semarang,PT Distribusi SumateraSelatan 1,18,1034697,926226,471
62,2025-05-28,May,2,False,Harmoni Deodoran,Personal Care,Deodoran,Harmoni,Toko Surabaya 96,Modern Trade,Jawa Timur,Surabaya,PT Distribusi SumateraSelatan 2,112,462900,428129,360
63,2025-02-21,February,1,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Warung Jakarta Timur 22,General Trade,Jakarta,Jakarta Timur,PT Distribusi JawaTimur 12,77,171413,130372,407
64,2025-01-29,January,1,False,Nuansa Lotion,Personal Care,Lotion,Nuansa,Swalayan Banjarmasin 46,General Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraUtara 6,111,660563,532523,210
65,2025-10-17,October,4,False,Segar Alam Deterjen,Household,Deterjen,Segar Alam,Swalayan Makassar 102,General Trade,Sulawesi,Makassar,PT Distribusi Kalimantan 3,44,784294,602465,445
66,2025-07-15,July,3,False,Nuansa Minyak Goreng,Food & Beverage,Minyak Goreng,Nuansa,Swalayan Banjarmasin 88,General Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraUtara 4,128,2495938,1954112,236
67,2025-11-23,November,4,False,Ceria Lotion,Personal Care,Lotion,Ceria,Warung Malang 59,Modern Trade,Jawa Timur,Malang,PT Distribusi Kalimantan 5,3,2001413,1915908,346
68,2025-10-07,October,4,False,Harmoni Pasta Gigi,Personal Care,Pasta Gigi,Harmoni,Swalayan Kediri 10,General Trade,Jawa Timur,Kediri,PT Distribusi Sulawesi 8,89,2514454,2058848,492
69,2025-08-06,August,3,False,Rumahku Pewangi Pakaian,Household,Pewangi Pakaian,Rumahku,Minimarket Bogor 33,General Trade,Jawa Barat,Bogor,PT Distribusi Sulawesi 8,78,885576,867736,436
70,2025-09-05,September,3,False,Harmoni Sampo,Personal Care,Sampo,Harmoni,Toko Surabaya 31,Modern Trade,Jawa Timur,Surabaya,PT Distribusi JawaBarat 7,147,1555583,1372345,358
71,2025-06-01,June,2,False,Nuansa Sabun Mandi,Personal Care,Sabun Mandi,Nuansa,Warung Binjai 107,Modern Trade,Sumatera Utara,Binjai,PT Distribusi SumateraSelatan 11,102,1201254,903177,442
72,2025-12-18,December,4,False,Harmoni Sabun Cuci Piring,Household,Sabun Cuci Piring,Harmoni,Toko Surabaya 96,Modern Trade,Jawa Timur,Surabaya,PT Distribusi SumateraSelatan 1,128,1250385,1160882,117
73,2025-11-07,November,4,False,Segar Alam Sabun Cuci Piring,Household,Sabun Cuci Piring,Segar Alam,Swalayan Banjarmasin 46,General Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraUtara 4,49,2654206,2143653,386
74,2025-12-04,December,4,False,Segar Alam Deterjen,Household,Deterjen,Segar Alam,Minimarket Semarang 108,General Trade,Jawa Tengah,Semarang,PT Distribusi Kalimantan 3,25,2681750,2409977,158
75,2025-08-14,August,3,False,Harmoni Sabun Mandi,Personal Care,Sabun Mandi,Harmoni,Minimarket Malang 75,Modern Trade,Jawa Timur,Malang,PT Distribusi SumateraUtara 6,34,428046,410587,167
76,2025-08-01,August,3,False,Harmoni Pasta Gigi,Personal Care,Pasta Gigi,Harmoni,Swalayan Semarang 26,Modern Trade,Jawa Tengah,Semarang,PT Distribusi Kalimantan 3,139,1584517,1381851,467
77,2025-05-20,May,2,False,Segar Alam Pembersih Lantai,Household,Pembersih Lantai,Segar Alam,Warung Jakarta Timur 22,General Trade,Jakarta,Jakarta Timur,PT Distribusi Kalimantan 5,124,1287912,1187079,173
78,2025-02-28,February,1,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Swalayan Kediri 10,General Trade,Jawa Timur,Kediri,PT Distribusi Kalimantan 3,58,2886707,2645868,203
79,2025-10-13,October,4,False,Rumahku Kecap,Food & Beverage,Kecap,Rumahku,Warung Kediri 12,General Trade,Jawa Timur,Kediri,PT Distribusi JawaBarat 7,4,1159219,1012475,232
80,2025-07-08,July,3,False,Segar Alam Deterjen,Household,Deterjen,Segar Alam,Toko Surabaya 96,Modern Trade,Jawa Timur,Surabaya,PT Distribusi SumateraSelatan 11,68,2501822,2095615,326
81,2025-07-10,July,3,False,Harmoni Sampo,Personal Care,Sampo,Harmoni,Warung Bogor 87,General Trade,Jawa Barat,Bogor,PT Distribusi SumateraUtara 4,121,154960,138301,482
82,2025-10-15,October,4,False,Harmoni Kecap,Food & Beverage,Kecap,Harmoni,Swalayan Jakarta Pusat 118,Modern Trade,Jakarta,Jakarta Pusat,PT Distribusi Jakarta 10,57,2766450,2115061,421
83,2025-08-26,August,3,False,Rumahku Pewangi Pakaian,Household,Pewangi Pakaian,Rumahku,Minimarket Bandung 39,Modern Trade,Jawa Barat,Bandung,PT Distribusi SumateraSelatan 11,105,539374,421870,484
84,2025-01-20,January,1,False,Nuansa Lotion,Personal Care,Lotion,Nuansa,Warung Binjai 64,Modern Trade,Sumatera Utara,Binjai,PT Distribusi SumateraSelatan 2,25,1034822,987292,69
85,2025-07-18,July,3,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Toko Medan 48,Modern Trade,Sumatera Utara,Medan,PT Distribusi SumateraSelatan 11,139,1807945,1600190,372
86,2025-03-21,March,1,True,Segar Alam Susu Bubuk,Food & Beverage,Susu Bubuk,Segar Alam,Warung Balikpapan 84,Modern Trade,Kalimantan,Balikpapan,PT Distribusi SumateraSelatan 2,176,3685124,3109753,487
87,2025-05-24,May,2,False,Harmoni Sabun Mandi,Personal Care,Sabun Mandi,Harmoni,Swalayan Semarang 89,General Trade,Jawa Tengah,Semarang,PT Distribusi SumateraUtara 6,56,1909683,1627584,120
88,2025-07-05,July,3,False,Harmoni Sampo,Personal Care,Sampo,Harmoni,Swalayan Banjarmasin 88,General Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraUtara 6,140,2754599,2293189,203
89,2025-05-22,May,2,False,Nuansa Deodoran,Personal Care,Deodoran,Nuansa,Swalayan Bekasi 16,General Trade,Jawa Barat,Bekasi,PT Distribusi Sulawesi 8,24,2829853,2260442,327
90,2025-11-02,November,4,False,Nuansa Sabun Mandi,Personal Care,Sabun Mandi,Nuansa,Warung Kediri 7,Modern Trade,Jawa Timur,Kediri,PT Distribusi SumateraUtara 6,63,578163,538272,105
91,2025-02-05,February,1,False,Segar Alam Pembersih Lantai,Household,Pembersih Lantai,Segar Alam,Swalayan Balikpapan 98,General Trade,Kalimantan,Balikpapan,PT Distribusi Jakarta 9,54,2509468,2006743,445
92,2025-04-30,April,2,False,Harmoni Kecap,Food & Beverage,Kecap,Harmoni,Minimarket Bekasi 100,Modern Trade,Jawa Barat,Bekasi,PT Distribusi Kalimantan 3,1,1212974,1149212,74
93,2025-03-08,March,1,True,Segar Alam Mi Instan,Food & Beverage,Mi Instan,Segar Alam,Minimarket Bogor 33,General Trade,Jawa Barat,Bogor,PT Distribusi Kalimantan 3,40,3951746,3751325,67
94,2025-01-08,January,1,False,Rumahku Kecap,Food & Beverage,Kecap,Rumahku,Swalayan Makassar 102,General Trade,Sulawesi,Makassar,PT Distribusi SumateraUtara 4,83,116190,91799,26
95,2025-03-06,March,1,True,Nuansa Pewangi Pakaian,Household,Pewangi Pakaian,Nuansa,Warung Kediri 54,Modern Trade,Jawa Timur,Kediri,PT Distribusi Jakarta 9,42,443213,380957,398
96,2025-07-05,July,3,False,Ceria Mi Instan,Food & Beverage,Mi Instan,Ceria,Swalayan Balikpapan 76,Modern Trade,Kalimantan,Balikpapan,PT Distribusi SumateraSelatan 2,116,2163252,1732670,314
97,2025-01-23,January,1,False,Nuansa Pewangi Pakaian,Household,Pewangi Pakaian,Nuansa,Minimarket Makassar 101,Modern Trade,Sulawesi,Makassar,PT Distribusi SumateraSelatan 11,134,1315129,1124895,493
98,2025-01-16,January,1,False,Harmoni Sabun Mandi,Personal Care,Sabun Mandi,Harmoni,Minimarket Bogor 62,General Trade,Jawa Barat,Bogor,PT Distribusi JawaBarat 7,110,2927701,2268474,364
99,2025-08-16,August,3,False,Ceria Sampo,Personal Care,Sampo,Ceria,Swalayan Banjarmasin 116,Modern Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraSelatan 2,83,2601384,2039788,64
100,2025-05-21,May,2,False,Nuansa Minyak Goreng,Food & Beverage,Minyak Goreng,Nuansa,Toko Medan 82,General Trade,Sumatera Utara,Medan,PT Distribusi Jakarta 10,141,1413926,1184315,305
101,2025-09-29,September,3,False,Nuansa Lotion,Personal Care,Lotion,Nuansa,Warung Malang 59,Modern Trade,Jawa Timur,Malang,PT Distribusi Jakarta 9,111,465984,434489,58
102,2025-12-02,December,4,False,Harmoni Deterjen,Household,Deterjen,Harmoni,Warung Jakarta Selatan 113,General Trade,Jakarta,Jakarta Selatan,PT Distribusi Jakarta 9,56,1853844,1582918,116
103,2025-07-31,July,3,False,Harmoni Kecap,Food & Beverage,Kecap,Harmoni,Warung Makassar 106,Modern Trade,Sulawesi,Makassar,PT Distribusi Sulawesi 8,103,1794787,1647275,160
104,2025-08-07,August,3,False,Harmoni Kecap,Food & Beverage,Kecap,Harmoni,Warung Balikpapan 86,General Trade,Kalimantan,Balikpapan,PT Distribusi Kalimantan 5,96,690214,626692,242
105,2025-02-04,February,1,False,Ceria Sampo,Personal Care,Sampo,Ceria,Warung Binjai 107,Modern Trade,Sumatera Utara,Binjai,PT Distribusi SumateraSelatan 2,24,1861421,1437407,378
106,2025-07-10,July,3,False,Segar Alam Sabun Cuci Piring,Household,Sabun Cuci Piring,Segar Alam,Toko Medan 17,General Trade,Sumatera Utara,Medan,PT Distribusi Jakarta 9,16,2509812,2434577,287
107,2025-06-18,June,2,False,Segar Alam Deterjen,Household,Deterjen,Segar Alam,Swalayan Bekasi 16,General Trade,Jawa Barat,Bekasi,PT Distribusi JawaBarat 7,91,2840640,2745364,216
108,2025-01-27,January,1,False,Nuansa Lotion,Personal Care,Lotion,Nuansa,Warung Malang 77,General Trade,Jawa Timur,Malang,PT Distribusi Kalimantan 5,91,484532,427803,108
109,2025-03-21,March,1,True,Segar Alam Deterjen,Household,Deterjen,Segar Alam,Minimarket Bogor 62,General Trade,Jawa Barat,Bogor,PT Distribusi SumateraUtara 4,39,2125877,2007754,188
110,2025-02-28,February,1,False,Harmoni Sabun Cuci Piring,Household,Sabun Cuci Piring,Harmoni,Swalayan Bandung 36,General Trade,Jawa Barat,Bandung,PT Distribusi Jakarta 10,58,1849827,1746950,498
111,2025-11-15,November,4,False,Nuansa Minyak Goreng,Food & Beverage,Minyak Goreng,Nuansa,Warung Bogor 87,General Trade,Jawa Barat,Bogor,PT Distribusi SumateraSelatan 11,143,160116,142514,336
112,2025-12-22,December,4,False,Ceria Lotion,Personal Care,Lotion,Ceria,Minimarket Lubuklinggau 4,General Trade,Sumatera Selatan,Lubuklinggau,PT Distribusi Kalimantan 3,70,2997332,2773593,471
113,2025-06-23,June,2,False,Rumahku Kecap,Food & Beverage,Kecap,Rumahku,Minimarket Jakarta Timur 1,General Trade,Jakarta,Jakarta Timur,PT Distribusi Kalimantan 3,37,2425322,2185674,35
114,2025-03-14,March,1,True,Nuansa Pewangi Pakaian,Household,Pewangi Pakaian,Nuansa,Toko Medan 82,General Trade,Sumatera Utara,Medan,PT Distribusi SumateraSelatan 1,33,3185007,2546351,214
115,2025-08-21,August,3,False,Harmoni Kecap,Food & Beverage,Kecap,Harmoni,Warung Surabaya 21,Modern Trade,Jawa Timur,Surabaya,PT Distribusi SumateraUtara 6,80,1410560,1309947,290
116,2025-11-02,November,4,False,Ceria Sampo,Personal Care,Sampo,Ceria,Swalayan Balikpapan 114,Modern Trade,Kalimantan,Balikpapan,PT Distribusi SumateraSelatan 1,40,710224,655906,25
117,2025-12-12,December,4,False,Ceria Sampo,Personal Care,Sampo,Ceria,Swalayan Malang 35,Modern Trade,Jawa Timur,Malang,PT Distribusi Sulawesi 8,109,2087012,1856663,212
118,2025-05-20,May,2,False,Nuansa Deodoran,Personal Care,Deodoran,Nuansa,Toko Malang 97,General Trade,Jawa Timur,Malang,PT Distribusi Jakarta 9,30,1497759,1271417,145
119,2025-12-14,December,4,False,Segar Alam Deterjen,Household,Deterjen,Segar Alam,Swalayan Balikpapan 76,Modern Trade,Kalimantan,Balikpapan,PT Distribusi Sulawesi 8,135,2848156,2338155,112
120,2025-07-22,July,3,False,Nuansa Minyak Goreng,Food & Beverage,Minyak Goreng,Nuansa,Warung Surabaya 8,General Trade,Jawa Timur,Surabaya,PT Distribusi SumateraSelatan 1,53,1314244,1271431,392
121,2025-03-12,March,1,True,Harmoni Sabun Cuci Piring,Household,Sabun Cuci Piring,Harmoni,Minimarket Bogor 33,General Trade,Jawa Barat,Bogor,PT Distribusi Kalimantan 5,117,774550,582289,382
122,2025-08-09,August,3,False,Harmoni Pasta Gigi,Personal Care,Pasta Gigi,Harmoni,Toko Medan 17,General Trade,Sumatera Utara,Medan,PT Distribusi JawaBarat 7,137,1015154,878169,426
123,2025-12-09,December,4,False,Segar Alam Sabun Cuci Piring,Household,Sabun Cuci Piring,Segar Alam,Swalayan Banjarmasin 46,General Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraSelatan 2,102,227428,193388,235
124,2025-02-09,February,1,False,Ceria Pembersih Lantai,Household,Pembersih Lantai,Ceria,Minimarket Binjai 41,Modern Trade,Sumatera Utara,Binjai,PT Distribusi Jakarta 10,110,2455012,2069617,327
125,2025-08-02,August,3,False,Nuansa Lotion,Personal Care,Lotion,Nuansa,Minimarket Magelang 15,General Trade,Jawa Tengah,Magelang,PT Distribusi JawaBarat 7,6,1412176,1114956,485
126,2025-11-13,November,4,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Warung Binjai 107,Modern Trade,Sumatera Utara,Binjai,PT Distribusi JawaTimur 12,93,419643,356882,54
127,2025-05-05,May,2,False,Segar Alam Susu Bubuk,Food & Beverage,Susu Bubuk,Segar Alam,Swalayan Balikpapan 76,Modern Trade,Kalimantan,Balikpapan,PT Distribusi JawaBarat 7,135,379869,319479,158
128,2025-06-23,June,2,False,Harmoni Deodoran,Personal Care,Deodoran,Harmoni,Minimarket Bandung 43,General Trade,Jawa Barat,Bandung,PT Distribusi Kalimantan 3,20,2191122,1962460,271
129,2025-09-19,September,3,False,Nuansa Deodoran,Personal Care,Deodoran,Nuansa,Swalayan Banjarmasin 116,Modern Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraUtara 6,90,2757184,2584745,120
